H: 10276, Al1: 6879, O: 5138, O1: 5000, , water number: 5139 lammps data format
27293 atoms
3 atom types
-21.435529 21.438146 xlo xhi
-21.489091 21.435550 ylo yhi
-291.449073 291.409617 zlo zhi

Masses

1 26.9815  # Al
2  1.0080  # H
3 15.9994  # O

Atoms  # charge

434 1 0.0 12.755455  -7.846362  -19.470246 
435 1 0.0 10.730665  18.475908  4.827234 
436 1 0.0 10.730665  16.451118  2.802444 
437 1 0.0 10.730665  14.426328  0.777654 
438 1 0.0 10.730665  12.401538  -1.247136 
439 1 0.0 10.730665  10.376748  -3.271926 
440 1 0.0 10.730665  8.351958  -5.296716 
441 1 0.0 10.730665  6.327168  -7.321506 
442 1 0.0 10.730665  4.302378  -9.346296 
443 1 0.0 10.730665  2.277588  -11.371086 
444 1 0.0 10.730665  0.252798  -13.395876 
445 1 0.0 10.730665  -1.771992  -15.420666 
446 1 0.0 10.730665  -3.796782  -17.445456 
447 1 0.0 10.730665  -5.821572  -19.470246 
448 1 0.0 8.705875  18.475908  2.802444 
449 1 0.0 8.705875  16.451118  0.777654 
450 1 0.0 8.705875  14.426328  -1.247136 
451 1 0.0 8.705875  12.401538  -3.271926 
452 1 0.0 8.705875  10.376748  -5.296716 
453 1 0.0 8.705875  8.351958  -7.321506 
454 1 0.0 8.705875  6.327168  -9.346296 
455 1 0.0 8.705875  4.302378  -11.371086 
456 1 0.0 8.705875  2.277588  -13.395876 
457 1 0.0 8.705875  0.252798  -15.420666 
458 1 0.0 8.705875  -1.771992  -17.445456 
459 1 0.0 8.705875  -3.796782  -19.470246 
460 1 0.0 6.681085  18.475908  0.777654 
461 1 0.0 6.681085  16.451118  -1.247136 
462 1 0.0 6.681085  14.426328  -3.271926 
463 1 0.0 6.681085  12.401538  -5.296716 
464 1 0.0 6.681085  10.376748  -7.321506 
465 1 0.0 6.681085  8.351958  -9.346296 
466 1 0.0 6.681085  6.327168  -11.371086 
467 1 0.0 6.681085  4.302378  -13.395876 
468 1 0.0 6.681085  2.277588  -15.420666 
469 1 0.0 6.681085  0.252798  -17.445456 
470 1 0.0 6.681085  -1.771992  -19.470246 
471 1 0.0 4.656295  18.475908  -1.247136 
472 1 0.0 4.656295  16.451118  -3.271926 
473 1 0.0 4.656295  14.426328  -5.296716 
474 1 0.0 4.656295  12.401538  -7.321506 
475 1 0.0 4.656295  10.376748  -9.346296 
476 1 0.0 4.656295  8.351958  -11.371086 
477 1 0.0 4.656295  6.327168  -13.395876 
478 1 0.0 4.656295  4.302378  -15.420666 
479 1 0.0 4.656295  2.277588  -17.445456 
480 1 0.0 4.656295  0.252798  -19.470246 
481 1 0.0 2.631505  18.475908  -3.271926 
482 1 0.0 2.631505  16.451118  -5.296716 
483 1 0.0 2.631505  14.426328  -7.321506 
484 1 0.0 2.631505  12.401538  -9.346296 
485 1 0.0 2.631505  10.376748  -11.371086 
486 1 0.0 2.631505  8.351958  -13.395876 
487 1 0.0 2.631505  6.327168  -15.420666 
488 1 0.0 2.631505  4.302378  -17.445456 
489 1 0.0 2.631505  2.277588  -19.470246 
490 1 0.0 0.606715  18.475908  -5.296716 
491 1 0.0 0.606715  16.451118  -7.321506 
492 1 0.0 0.606715  14.426328  -9.346296 
493 1 0.0 0.606715  12.401538  -11.371086 
494 1 0.0 0.606715  10.376748  -13.395876 
495 1 0.0 0.606715  8.351958  -15.420666 
496 1 0.0 0.606715  6.327168  -17.445456 
497 1 0.0 0.606715  4.302378  -19.470246 
498 1 0.0 -1.418075  18.475908  -7.321506 
499 1 0.0 -1.418075  16.451118  -9.346296 
500 1 0.0 -1.418075  14.426328  -11.371086 
501 1 0.0 -1.418075  12.401538  -13.395876 
502 1 0.0 -1.418075  10.376748  -15.420666 
503 1 0.0 -1.418075  8.351958  -17.445456 
504 1 0.0 -1.418075  6.327168  -19.470246 
505 1 0.0 -3.442865  18.475908  -9.346296 
506 1 0.0 -3.442865  16.451118  -11.371086 
507 1 0.0 -3.442865  14.426328  -13.395876 
508 1 0.0 -3.442865  12.401538  -15.420666 
509 1 0.0 -3.442865  10.376748  -17.445456 
510 1 0.0 -3.442865  8.351958  -19.470246 
511 1 0.0 -5.467655  18.475908  -11.371086 
512 1 0.0 -5.467655  16.451118  -13.395876 
513 1 0.0 -5.467655  14.426328  -15.420666 
514 1 0.0 -5.467655  12.401538  -17.445456 
515 1 0.0 -5.467655  10.376748  -19.470246 
516 1 0.0 -7.492445  18.475908  -13.395876 
517 1 0.0 -7.492445  16.451118  -15.420666 
518 1 0.0 -7.492445  14.426328  -17.445456 
519 1 0.0 -7.492445  12.401538  -19.470246 
520 1 0.0 -9.517235  18.475908  -15.420666 
521 1 0.0 -9.517235  16.451118  -17.445456 
522 1 0.0 -9.517235  14.426328  -19.470246 
523 1 0.0 -11.542025  18.475908  -17.445456 
524 1 0.0 -11.542025  16.451118  -19.470246 
525 1 0.0 -13.566815  18.475908  -19.470246 
526 1 0.0 18.829825  18.475908  16.975974 
527 1 0.0 18.829825  16.451118  14.951184 
528 1 0.0 18.829825  14.426328  12.926394 
529 1 0.0 18.829825  12.401538  10.901604 
530 1 0.0 18.829825  10.376748  8.876814 
531 1 0.0 18.829825  8.351958  6.852024 
532 1 0.0 18.829825  6.327168  4.827234 
533 1 0.0 18.829825  4.302378  2.802444 
534 1 0.0 18.829825  2.277588  0.777654 
535 1 0.0 18.829825  0.252798  -1.247136 
536 1 0.0 18.829825  -1.771992  -3.271926 
537 1 0.0 18.829825  -3.796782  -5.296716 
538 1 0.0 18.829825  -5.821572  -7.321506 
539 1 0.0 18.829825  -7.846362  -9.346296 
